superkingdom	phylum	class	order	family	genus
t5396	Bacteria	Firmicutes	Clostridia_A	Christensenellales	CAG-74	UBA11524
t1753	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_D
t2404	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium
t2427	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas_A
t4658	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus_D
t2568	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus_A
t3076	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E
t7028	Bacteria	Proteobacteria	Alphaproteobacteria	RUG11792	RUG11792	RUG11420
t1910	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	UBA1394
t2089	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruthenibacterium
t3559	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
t4784	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Harryflintia
t2374	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Pseudopelobacteraceae	Pseudopelobacter
t2813	Bacteria	Firmicutes	Clostridia_A	Christensenellales	CAG-917	CAG-475
t6707	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter_A
t1535	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Alkalibacterium
t1182	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	RUG410
t1815	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosporobacter
t6741	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter
t1266	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
t1599	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_A
t6280	Bacteria	Firmicutes	Clostridia	Oscillospirales	CAG-272	UMGS1815
t1481	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Levilactobacillus
t4255	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-776
t5955	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-988
t8636	Bacteria	Firmicutes	SHA-98	Ch115	JABLXJ01	JABLXL01
t4826	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	BBW3	UBA5261
t4203	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	BBW3	Tenuifilum
t807	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
t958	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia
t4821	Bacteria	Firmicutes	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter
t1789	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	14-2
t2732	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lacrimispora
t2346	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	UBA1997	UBA2645
t8647	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	JABCPE02
